TEAM_NAME,SEED,REGION,FIRST_FOUR
Duke Blue Devils,1,EAST,
Mount St. Mary's Mountaineers,16,EAST,B
Mississippi State Bulldogs,8,EAST,
Baylor Bears,9,EAST,
Oregon Ducks,5,EAST,
Liberty Flames,12,EAST,
Arizona Wildcats,4,EAST,
Akron Zips,13,EAST,
BYU Cougars,6,EAST,
VCU Rams,11,EAST,
Wisconsin Badgers,3,EAST,
Montana Grizzlies,14,EAST,
Saint Mary's Gaels,7,EAST,
Vanderbilt Commodores,10,EAST,
Alabama Crimson Tide,2,EAST,
Robert Morris Colonials,15,EAST,
Florida Gators,1,WEST,
Norfolk State Spartans,16,WEST,
UConn Huskies,8,WEST,
Oklahoma Sooners,9,WEST,
Memphis Tigers,5,WEST,
Colorado State Rams,12,WEST,
Maryland Terrapins,4,WEST,
Grand Canyon Lopes,13,WEST,
Missouri Tigers,6,WEST,
Drake Bulldogs,11,WEST,
Texas Tech Red Raiders,3,WEST,
UNC Wilmington Seahawks,14,WEST,
Kansas Jayhawks,7,WEST,
Arkansas Razorbacks,10,WEST,
St. John's Red Storm,2,WEST,
Omaha Mavericks,15,WEST,
Auburn Tigers,1,SOUTH,
Alabama State Hornets,16,SOUTH,A
Louisville Cardinals,8,SOUTH,
Creighton Bluejays,9,SOUTH,
Michigan Wolverines,5,SOUTH,
UC San Diego Tritons,12,SOUTH,
Texas A&M Aggies,4,SOUTH,
Yale Bulldogs,13,SOUTH,
Ole Miss Rebels,6,SOUTH,
North Carolina Tar Heels,11,SOUTH,B
Iowa State Cyclones,3,SOUTH,
Lipscomb Bisons,14,SOUTH,
Marquette Golden Eagles,7,SOUTH,
New Mexico Lobos,10,SOUTH,
Michigan State Spartans,2,SOUTH,
Bryant Bulldogs,15,SOUTH,
Houston Cougars,1,MIDWEST,
SIU Edwardsville Cougars,16,MIDWEST,
Gonzaga Bulldogs,8,MIDWEST,
Georgia Bulldogs,9,MIDWEST,
Clemson Tigers,5,MIDWEST,
McNeese Cowboys,12,MIDWEST,
Purdue Boilermakers,4,MIDWEST,
High Point Panthers,13,MIDWEST,
Illinois Fighting Illini,6,MIDWEST,
Xavier Musketeers,11,MIDWEST,B
Kentucky Wildcats,3,MIDWEST,
Troy Trojans,14,MIDWEST,
UCLA Bruins,7,MIDWEST,
Utah State Aggies,10,MIDWEST,
Tennessee Volunteers,2,MIDWEST,
Wofford Terriers,15,MIDWEST,
St. Francis (PA) Red Flash,16,SOUTH,B
Texas Longhorns,11,MIDWEST,A
American University Eagles,16,EAST,A
San Diego State Aztecs,11,SOUTH,A