,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
1,Duke Blue Devils,ACC,2118.67,+12 🟢@@11.91589355,1855.666,2118.67,80.61849
2,Houston Cougars,Big 12,2116.65,+10 🟢@@9.635620117,1878.984,2116.65,84.03011
3,Florida Gators,SEC,2096.936,+38 🟢@@38.12353516,1807.053,2096.936,62.04281
4,Auburn Tigers,SEC,2046.157,-19 🟠@@-18.93170166,1874.28,2115.515,67.18417
5,Alabama Crimson Tide,SEC,2035.864,-38 🟠@@-38.12353516,1923.853,2102.856,99.86444
6,St. John's Red Storm,Big East,2023.274,+12 🟢@@11.7333374,1798.122,2023.274,43.11964
7,Tennessee Volunteers,SEC,2011.854,+19 🟢@@18.93170166,1857.944,2011.854,85.4992
8,Michigan State Spartans,Big Ten,2006.069,-17 🟠@@-17.29510498,1764.261,2023.364,79.94518
9,Gonzaga Bulldogs,WCC,1982.021,+19 🟢@@19.30688477,1840.146,1982.021,70.65714
10,Maryland Terrapins,Big Ten,1970.721,-12 🟠@@-12.16699219,1711.481,1982.888,73.68816
11,Louisville Cardinals,ACC,1958.452,-12 🟠@@-11.91589355,1539.657,1970.368,64.56897
12,Arizona Wildcats,Big 12,1952.972,-10 🟠@@-9.635559082,1741.361,1968.967,82.42317
13,Texas Tech Red Raiders,Big 12,1945.414,-20 🟠@@-20.22357178,1776.804,1965.638,80.43138
14,Saint Mary's Gaels,WCC,1922.426,-19 🟠@@-19.30688477,1721.085,1941.732,50.95832
15,Wisconsin Badgers,Big Ten,1918.098,+17 🟢@@17.29510498,1754.847,1966.823,76.30852
16,Clemson Tigers,ACC,1912.944,-13 🟠@@-12.87463379,1741.825,1925.819,81.81327
17,Kansas Jayhawks,Big 12,1907.924,-26 🟠@@-25.7454834,1907.924,2055.202,86.42014
18,Iowa State Cyclones,Big 12,1904.397,-16 🟠@@-16.32745361,1877.99,2044.129,77.8632
19,UConn Huskies,Big East,1896.165,-33 🟠@@-33.38903809,1860.749,2002.05,52.73684
20,BYU Cougars,Big 12,1890.807,-17 🟠@@-16.65692139,1717.788,1907.464,98.07619
21,VCU Rams,A-10,1878.111,+7 🟢@@6.826782227,1677.292,1885.539,70.99306
22,Texas A&M Aggies,SEC,1875.692,-26 🟠@@-26.0602417,1809.462,1936.062,65.99222
23,Michigan Wolverines,Big Ten,1875.011,+12 🟢@@12.16699219,1623.443,1933.553,73.62621
24,Ole Miss Rebels,SEC,1869.019,-5 🟠@@-5.266113281,1721.241,1950.863,73.14399
25,UC San Diego Tritons,Big West,1867.347,+16 🟢@@16.26098633,1485.011,1867.347,59.54468
26,Creighton Bluejays,Big East,1861.029,-12 🟠@@-11.73339844,1711.524,1872.762,73.9169
27,Baylor Bears,Big 12,1860.021,-6 🟠@@-6.036682129,1803.658,1897.134,47.14067
28,Drake Bulldogs,MVC,1857.015,+16 🟢@@15.54052734,1680.209,1857.015,59.47573
29,Marquette Golden Eagles,Big East,1855.254,-13 🟠@@-13.34820557,1833.97,1952.259,67.06656
30,UCLA Bruins,Big Ten,1851.142,-20 🟠@@-19.66906738,1717.518,1870.811,74.97391
31,Boise St.,MWC,1848.289,+26 🟢@@26.23419189,1709.3,1848.289,67.20248
32,North Carolina Tar Heels,ACC,1846.096,-4 🟠@@-3.837158203,1757.484,1885.76,62.27146
33,Memphis Tigers,AAC,1843.136,+3 🟢@@2.885742188,1661.928,1843.136,84.99876
34,Illinois Fighting Illini,Big Ten,1842.026,-38 🟠@@-37.52880859,1770.212,1946.755,71.27821
35,New Mexico Lobos,MWC,1841.26,-15 🟠@@-14.68603516,1673.164,1868.616,88.63853
36,Kentucky Wildcats,SEC,1838.218,-26 🟠@@-26.34484863,1782.982,1864.563,79.2058
37,Oregon Ducks,Big Ten,1837.266,-8 🟠@@-8.105529785,1714.598,1883.903,51.18669
38,Arkansas Razorbacks,SEC,1834.295,-10 🟠@@-9.837219238,1717.372,1844.132,84.5885
39,Xavier Musketeers,Big East,1829.755,-9 🟠@@-8.643493652,1672.723,1838.398,84.08477
40,Missouri Tigers,SEC,1825.122,-11 🟠@@-10.91784668,1536.769,1892.592,85.06064
41,Colorado State Rams,MWC,1824.549,-26 🟠@@-26.23419189,1617.255,1850.783,60.41494
42,Purdue Boilermakers,Big Ten,1801.474,-45 🟠@@-45.22491455,1801.474,1939.656,108.5121
43,Georgia Bulldogs,SEC,1798.305,-22 🟠@@-21.80511475,1678.307,1820.11,58.87895
44,Liberty Flames,CUSA,1789.955,+17 🟢@@17.04943848,1470.762,1789.955,51.41064
45,Indiana,Big Ten,1770.691,-29 🟠@@-29.15637207,1660.627,1799.847,85.58305
46,Mississippi State Bulldogs,SEC,1770.481,-26 🟠@@-26.28491211,1752.094,1918.646,65.28079
47,San Diego St.,MWC,1768.265,-27 🟠@@-27.36804199,1710.24,1814.669,62.49776
48,George Mason,A-10,1764.332,+18 🟢@@17.78369141,1601.062,1782.294,59.29303
49,Yale Bulldogs,Ivy,1758.09,+3 🟢@@2.867614746,1602.344,1779.743,53.0277
50,Oklahoma Sooners,SEC,1757.755,-6 🟠@@-5.697631836,1696.61,1809.397,85.9249
51,SMU,ACC,1755.255,-4 🟠@@-4.305419922,1632.717,1799.586,53.93396
52,High Point Panthers,Big South,1752.224,+15 🟢@@14.9317627,1561.569,1752.224,64.68682
53,Utah State Aggies,MWC,1745.824,-20 🟠@@-19.76226807,1722.758,1845.13,94.32029
54,Wake Forest,ACC,1743.786,-16 🟠@@-16.1673584,1708.869,1836.357,75.7925
55,Northwestern,Big Ten,1743.685,-12 🟠@@-12.33422852,1663.448,1777.71,25.99792
56,Villanova,Big East,1740.143,-16 🟠@@-16.32128906,1580.96,1764.393,60.57116
57,UC Irvine,Big West,1738.846,-16 🟠@@-16.26098633,1600.432,1783.392,50.82607
58,Texas,SEC,1735.848,-7 🟠@@-6.522216797,1678.414,1841.434,61.25423
59,Dayton,A-10,1735.662,-18 🟠@@-18.13317871,1674.52,1834.577,88.71178
60,Santa Clara,WCC,1734.24,-25 🟠@@-24.5413208,1506.542,1789.716,26.37903
61,San Francisco,WCC,1731.758,-4 🟠@@-3.766174316,1625.552,1757.02,50.91813
62,Grand Canyon Lopes,WAC,1727.855,+16 🟢@@16.4085083,1611.618,1727.855,63.07624
63,Penn St.,Big Ten,1722.962,+64 🟢@@63.94055176,1601.517,1788.056,66.10199
64,Ohio St.,Big Ten,1722.13,-22 🟠@@-22.0848999,1722.13,1833.699,70.99506
65,McNeese Cowboys,Southland,1721.285,+7 🟢@@6.672546387,1553.851,1721.285,61.93475
66,Cincinnati,Big 12,1707.689,-14 🟠@@-13.87902832,1671.548,1839.532,79.14961
67,Rutgers,Big Ten,1701.725,-23 🟠@@-22.74780273,1679.792,1750.624,46.34581
68,Iowa,Big Ten,1698.593,-12 🟠@@-11.87182617,1635.919,1751.719,78.89053
69,USC,Big Ten,1696.207,-5 🟠@@-5.125610352,1580.87,1763.25,33.77518
70,Kansas St.,Big 12,1692.386,-19 🟠@@-19.23974609,1585.827,1793.284,80.52869
71,Saint Joseph's,A-10,1689.164,-18 🟠@@-17.78369141,1558.782,1727.427,54.06212
72,North Texas,AAC,1685.286,-37 🟠@@-37.2734375,1633.776,1736.989,40.08685
73,Vanderbilt Commodores,SEC,1683.963,-25 🟠@@-24.52764893,1549.3,1767.507,72.00012
74,Chattanooga,Southern,1682.007,-16 🟠@@-15.85144043,1457.721,1697.858,62.58579
75,Loyola Chicago,A-10,1681.874,-7 🟠@@-6.826782227,1554.322,1707.619,52.91645
76,Bradley,MVC,1678.21,-16 🟠@@-15.54052734,1622.184,1769.039,90.29079
77,West Virginia,Big 12,1676.577,-26 🟠@@-26.06451416,1574.701,1726.56,89.80882
78,Utah Valley,WAC,1675.551,-16 🟠@@-16.4085083,1462.166,1691.959,65.35805
79,Saint Louis,A-10,1672.459,-19 🟠@@-18.97314453,1506.178,1691.432,62.61788
80,UNC Wilmington Seahawks,CAA,1660.231,+7 🟢@@6.531005859,1462.06,1660.231,54.03971
81,Troy Trojans,Sun Belt,1659.335,+30 🟢@@30.31945801,1527.127,1659.335,49.45833
82,UAB,AAC,1655.068,+37 🟢@@37.2734375,1506.594,1658.244,73.81953
83,Akron Zips,MAC,1651.156,+6 🟢@@5.984924316,1474.59,1651.156,84.65166
84,Stanford,ACC,1650.03,-2 🟠@@-2.000427246,1578.396,1671.164,61.59303
85,Arkansas St.,Sun Belt,1649.599,-30 🟠@@-30.31945801,1554.108,1711.822,57.1094
86,Nebraska,Big Ten,1647.151,-52 🟠@@-52.46051025,1647.151,1822.226,69.60284
87,Lipscomb Bisons,A-Sun,1646.803,+14 🟢@@13.96679688,1449.432,1646.803,56.38534
88,UNLV,MWC,1642.253,-22 🟠@@-22.26733398,1602.572,1684.277,62.53666
89,Northern Iowa,MVC,1638.418,-15 🟠@@-15.3338623,1492.104,1673.045,66.41687
90,UCF,Big 12,1636.306,-4 🟠@@-3.845703125,1584.017,1747.342,34.74823
91,South Carolina,SEC,1635.163,-8 🟠@@-7.814697266,1602.542,1750.696,51.58269
92,Butler,Big East,1629.896,-4 🟠@@-4.422180176,1583.574,1742.918,66.47217
93,Cal State Northridge,Big West,1629.363,-26 🟠@@-25.84655762,1406.293,1690.34,38.07366
94,St. Bonaventure,A-10,1627.365,-11 🟠@@-10.81878662,1575.48,1729.005,53.62932
95,Arizona St.,Big 12,1626.847,-9 🟠@@-9.240539551,1626.847,1767.73,50.11076
96,Tulane,AAC,1622.806,-3 🟠@@-2.885742188,1392.425,1625.691,35.2185
97,Bryant Bulldogs,ASEC,1622.218,+15 🟢@@15.02288818,1453.209,1622.218,55.41843
98,Northern Colorado,Big Sky,1621.912,-24 🟠@@-24.418396,1439.602,1646.33,44.43398
99,Georgia Tech,ACC,1621.157,-2 🟠@@-1.698730469,1489.341,1622.855,54.48599
100,Robert Morris Colonials,Horizon,1620.212,+19 🟢@@18.86108398,1307.571,1620.212,36.51838
101,Belmont,MVC,1619.496,-6 🟠@@-6.407714844,1545.564,1653.298,67.96252
102,Cornell,Ivy,1615.591,+28 🟢@@27.71429443,1508.552,1641.397,41.89546
103,Wofford Terriers,Southern,1609.463,+20 🟢@@19.66125488,1426.499,1609.463,62.42902
104,Minnesota,Big Ten,1605.13,-9 🟠@@-9.060791016,1551.685,1671.91,56.11768
105,Utah,Big 12,1602.999,-34 🟠@@-33.55047607,1575.99,1707.505,98.94939
106,Virginia,ACC,1601.99,-17 🟠@@-16.98748779,1515.645,1705.511,67.56031
107,College of Charleston,CAA,1601.528,-7 🟠@@-6.996826172,1534.052,1691.984,62.27044
108,Nevada,MWC,1596.826,-8 🟠@@-7.841674805,1596.826,1779.927,67.8101
109,Pittsburgh,ACC,1596.03,-11 🟠@@-11.1675415,1591.843,1792.007,43.39212
110,Florida St.,ACC,1596.007,-15 🟠@@-15.33764648,1590.828,1753.91,64.77009
111,Colorado,Big 12,1592.597,-2 🟠@@-1.956970215,1512.416,1762.646,79.64312
112,Oregon St.,WCC,1592.131,-26 🟠@@-26.14245605,1525.444,1689.597,40.87506
113,Furman,Southern,1592.045,-20 🟠@@-19.66125488,1491.432,1663.321,53.30043
114,Georgetown,Big East,1591.524,-19 🟠@@-19.25341797,1486.732,1680.914,40.84241
115,Montana Grizzlies,Big Sky,1590.396,+24 🟢@@24.418396,1426.33,1590.396,83.63703
116,Florida Atlantic,AAC,1589.222,-17 🟠@@-17.3157959,1575.608,1780.973,44.27931
117,George Washington,A-10,1587.746,-20 🟠@@-19.5970459,1470.004,1616.244,70.14001
118,Middle Tennessee,CUSA,1587.637,-10 🟠@@-10.42950439,1419.828,1607.839,64.77015
119,North Alabama,A-Sun,1585.43,-14 🟠@@-13.96679688,1370.042,1599.397,61.89563
120,Omaha Mavericks,Summit,1585.094,+24 🟢@@24.26843262,1251.686,1585.094,53.39733
121,New Mexico St.,CUSA,1584.709,-11 🟠@@-11.21606445,1354.751,1619.468,72.44912
122,TCU,Big 12,1584.352,-11 🟠@@-11.48730469,1577.225,1731.245,52.48268
123,Towson,CAA,1584.344,-41 🟠@@-41.26702881,1369.071,1625.61,53.6418
124,Jacksonville St.,CUSA,1580.734,-17 🟠@@-17.04943848,1419.683,1637.501,40.58685
125,LSU,SEC,1578.721,-20 🟠@@-19.79992676,1578.721,1764.299,49.30712
126,Oklahoma St.,Big 12,1575.082,-29 🟠@@-28.57415771,1567.069,1687.859,80.27058
127,Winthrop,Big South,1574.19,-15 🟠@@-14.9317627,1378.34,1589.121,59.42085
128,Syracuse,ACC,1571.75,-21 🟠@@-21.00927734,1540.983,1681.08,50.04763
129,Kennesaw St.,CUSA,1570.852,-5 🟠@@-4.656921387,1393.799,1595.003,53.08443
130,Louisiana Tech,CUSA,1568.254,-9 🟠@@-8.72253418,1519.19,1710.58,72.21642
131,Duquesne,A-10,1567.328,-13 🟠@@-12.98583984,1423.074,1670.819,49.92973
132,Milwaukee,Horizon,1562.799,-37 🟠@@-37.15246582,1423.786,1616.112,39.60577
133,Washington St.,WCC,1561.42,-13 🟠@@-12.71722412,1550.303,1757.902,37.33572
134,Samford,Southern,1560.435,-34 🟠@@-33.89886475,1560.435,1672.378,35.90393
135,St. Thomas,Summit,1558.828,-24 🟠@@-24.26843262,1455.826,1622.124,60.94096
136,North Dakota St.,Summit,1551.475,-13 🟠@@-12.83581543,1333.805,1596.414,55.49933
137,Notre Dame,ACC,1549.744,-9 🟠@@-9.412353516,1524.753,1687.044,70.65257
138,Providence,Big East,1548.228,-15 🟠@@-14.58636475,1548.228,1731.184,60.85651
139,East Tennessee St.,Southern,1546.953,-28 🟠@@-28.30310059,1445.541,1585.527,56.54533
140,South Alabama,Sun Belt,1546.35,-8 🟠@@-8.092590332,1415.535,1630.965,45.69941
141,California,ACC,1544.793,-11 🟠@@-10.57458496,1525.963,1637.841,33.26231
142,UC Riverside,Big West,1541.721,-38 🟠@@-38.33410645,1418.593,1580.055,46.8949
143,DePaul,Big East,1541.131,-3 🟠@@-3.462341309,1467.874,1609.702,25.96611
144,Miami University (OH),MAC,1540.259,-6 🟠@@-5.984924316,1378.632,1568.988,72.44698
145,UC Santa Barbara,Big West,1538.001,-8 🟠@@-7.81842041,1434.354,1593.96,50.28607
146,Seattle,WAC,1537.149,-14 🟠@@-14.20690918,1475.887,1606.973,55.93204
147,Murray St.,MVC,1535.182,-11 🟠@@-10.75512695,1465.641,1605.987,84.11845
148,Kent St.,MAC,1534.402,-24 🟠@@-24.09552002,1455.14,1589.375,68.31941
149,Illinois St.,MVC,1533.415,-23 🟠@@-23.10809326,1471.539,1556.523,76.78839
150,Merrimack,MAAC,1531.482,-14 🟠@@-13.89898682,1411.208,1563.555,54.72021
151,UNC Greensboro,Southern,1531.043,-37 🟠@@-36.65771484,1489.712,1589.863,48.12033
152,Washington,Big Ten,1530.452,-8 🟠@@-7.761901855,1530.452,1724.658,39.096
153,Marshall,Sun Belt,1523.865,-6 🟠@@-6.205078125,1368.699,1530.07,85.27164
154,Illinois-Chicago,MVC,1523.494,-58 🟠@@-58.40344238,1397.609,1693.17,44.46139
155,NC State,ACC,1523.138,-14 🟠@@-13.6741333,1519.272,1770.964,58.72088
156,Radford,Big South,1523.082,-5 🟠@@-5.283569336,1388.93,1541.219,52.04133
157,Norfolk State Spartans,MEAC,1522.152,+6 🟢@@5.523803711,1396.79,1562.831,58.17749
158,James Madison,Sun Belt,1521.62,-25 🟠@@-24.89666748,1489.066,1663.654,44.51009
159,Youngstown St.,Horizon,1520.746,-19 🟠@@-18.86108398,1358.918,1569.65,37.52785
160,Dartmouth,Ivy,1520.286,-28 🟠@@-27.71429443,1247.635,1573.552,32.22249
161,Cleveland St.,Horizon,1519.992,-10 🟠@@-10.11517334,1372.914,1610.361,47.6068
162,Central Connecticut,NSEC,1517.572,-28 🟠@@-27.92492676,1338.894,1545.497,34.82048
163,Princeton,Ivy,1516.632,-3 🟠@@-2.867614746,1504.112,1698.071,75.99225
164,California Baptist,WAC,1515.856,-10 🟠@@-9.744812012,1419.354,1530.61,54.50508
165,Temple,AAC,1515.395,-20 🟠@@-19.79052734,1496.544,1638.196,54.64687
166,Maine,ASEC,1515.35,-15 🟠@@-15.02288818,1418.774,1540.19,18.03293
167,San Jose St.,MWC,1513.517,-4 🟠@@-4.051086426,1362.592,1517.568,9.708117
168,Drexel,CAA,1512.978,-11 🟠@@-10.70898438,1440.258,1550.485,58.35799
169,Davidson,A-10,1512.679,-12 🟠@@-12.27874756,1512.679,1604.81,56.90159
170,Cal Poly,Big West,1510.985,-12 🟠@@-11.87976074,1234.645,1522.865,39.05552
171,Wichita St.,AAC,1505.759,-2 🟠@@-2.21685791,1427.269,1658.662,73.8294
172,Brown,Ivy,1502.311,-10 🟠@@-9.688781738,1438.886,1580.571,25.92559
173,Oakland,Horizon,1499.598,-8 🟠@@-8.401916504,1444.321,1596.634,50.90552
174,Quinnipiac,MAAC,1498.795,-24 🟠@@-24.21459961,1392.8,1577.615,49.42651
175,Eastern Kentucky,A-Sun,1497.912,-18 🟠@@-17.690979,1357.179,1548.043,64.47639
176,East Carolina,AAC,1497.357,-23 🟠@@-23.15783691,1422.06,1553.113,33.2829
177,Jacksonville,A-Sun,1495.509,-12 🟠@@-11.84991455,1367.145,1559.098,34.86141
178,Purdue Fort Wayne,Horizon,1486.703,-9 🟠@@-9.406982422,1480.129,1582.135,54.54787
179,Mount St. Mary's Mountaineers,MAAC,1484.626,+32 🟢@@32.04675293,1324.394,1484.626,39.09122
180,Rhode Island,A-10,1483.469,-55 🟠@@-55.1628418,1480.03,1669.783,41.73134
